Hotel Name,Location,Tarrif,Ratings,Number of reviews,Website
Courtyard by Marriott High Point,High Point,$122,4.5/5,(327 reviews),https://www.expedia.com/Greensboro-Hotels-Courtyard-By-Marriott-High-Point.h969918.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730248&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=122&top_cur=USD&semdtl=&selectedRoomType=64644&selectedRatePlan=226210201
Baymont by Wyndham Greensboro/Coliseum,Greensboro,$63,3.4/5,(971 reviews),https://www.expedia.com/Greensboro-Hotels-Baymont-By-Wyndham-GreensboroColiseum.h12540.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730250&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=63&top_cur=USD&semdtl=&selectedRoomType=402811&selectedRatePlan=1393724
SpringHill Suites by Marriott Greensboro Airport,Greensboro,$99,4.7/5,(120 reviews),https://www.expedia.com/Greensboro-Hotels-SpringHill-Suites-By-Marriott-Greensboro-Airport.h20388705.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730251&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=99&top_cur=USD&semdtl=&selectedRoomType=202251517&selectedRatePlan=211577042
"Hampton Inn & Suites Greensboro/Coliseum Area, NC",Greensboro,$129,4.6/5,(532 reviews),https://www.expedia.com/Greensboro-Hotels-Hampton-Inn-Suites-GreensboroColiseum-Area.h5232877.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730253&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=129&top_cur=USD&semdtl=&selectedRoomType=200197039&selectedRatePlan=230094662
Oaks Motel,Greensboro,$75,3.4/5,(7 reviews),https://www.expedia.com/Greensboro-Hotels-Oaks-Motel.h51686003.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730254&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=75&top_cur=USD&semdtl=&selectedRoomType=230441876&selectedRatePlan=276335170
"Motel 6 Greensboro, NC - I-40",Greensboro,$54,3.0/5,(253 reviews),https://www.expedia.com/Greensboro-Hotels-Motel-6-Greensboro-NC-I-40.h459102.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730256&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=54&top_cur=USD&semdtl=&selectedRoomType=210606960&selectedRatePlan=224190849
"Home2 Suites by Hilton Greensboro Airport, NC",Greensboro,$87,4.4/5,(265 reviews),https://www.expedia.com/Greensboro-Hotels-Home2-Suites-By-Hilton-Greensboro-Airport.h7795072.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730257&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=87&top_cur=USD&semdtl=&selectedRoomType=200637815&selectedRatePlan=220266529
Microtel Inn & Suites by Wyndham Thomasville/High Point/Lexi,Thomasville,$53,3.4/5,(481 reviews),https://www.expedia.com/Greensboro-Hotels-Microtel-Inn-Suites-By-Wyndham-ThomasvilleHigh-PointLexi.h581223.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730259&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=53&top_cur=USD&semdtl=&selectedRoomType=325567&selectedRatePlan=1263538
Courtyard by Marriott Greensboro,Greensboro,$103,4.3/5,(403 reviews),https://www.expedia.com/Greensboro-Hotels-Courtyard-By-Marriott-Greensboro.h5191.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730260&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&trackingData=AAAAEGA0U99WMTyYqsfyw9pY1xNesuRjXriyqTINMCipUWZSB3Sazbek8nkWg2x9RG0MVbJR3TIpg9Wv715uv-50oJZAu2-vHUi6wb1-M3wyCn6BZjkZjPe7k1dKvdBGfwdgGje08GsHDwQiiPwPj9i46xyPpqu6v_kGOrkyJbnoSOgLEHw68vJtyRNwyXsR2dmfkpEc136iD3vWAucny7uWig0wyVY35aFMraQemqNo_TQIcEWxm60c7FnnaszPflswqF_eCj6j9rUAM9eKJSbRh5iJ6g5F-1lMBuDJVwRkXnQUt0sv6vmZaIHTKIRjUQBQ8WSFEWnfEy1tIu89h6qF0leu7rpUp2biROyXncPK21dEqXnm8g-anmpY3hdednHc51ZvbDFCefdQlavtJneJrkkJDxIkAEdVQx7nlEPY7EepvKNgcoeEDvv8bVBK_jFyflLfjPYNVUsvHE6XZTVtyjKJ8h-KgcI-Y7-6CqrB-B5c14ZNGXLhgxg6ylC3sUjqQaLjZIBSDXSaieCjFyu2ljW-Hl5r9c_Bu09d760ZDUPhLKUDUd57FEypuhcXH8XaYnPmJY0ECX53HtWPYi5LuS580jWwj0Zylaj-_p5KZVAI5FPLGOfZN2HwRNPEdXPfVz1HQcf9w27sYr3cFNNT5EGwNuF64vTUZOQP5ZnLyuHJohYZ3eXcKpYFJwytCSriq2L_KpTx9HbpM6APIkseVim61LHoWl1zrvGW89RSemL8uiedXLs7fCCDUar-WejapCjTV5KZ2OW4HWNn-y6tZVUO5Ab3iEyRtEv6scCtKF9Ik0BukDe01Sg_O3TW_fTQ2jRqHe_mBnzOFEo6zFunT7s8-mY6hlJdPdVpYa9HXmvCdA7oLlcUSH3FX85GKWL7gNuP42gQ89mBZ2IOWSqD-peN3HsEKlaAJ4RDLS0ZlEK1FgEsY4oMP_mANrvSMcT_LgPexV7Etfj6p6XWBbwpggO-NmDdPmzBXqMRQQgQFvbwbKtLWwNKD6HvVdaEeneiuh8pSNYzOdLkSvgbHT3_6NFoA0pgf2W-5VX5dVsK6yXj&rank=10&testVersionOverride=Buttercup%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C33739.99567.0%2C37898.109354.0%2C37186.109912.1%2C37930.113882.0%2C37949.107324.0%2C39046.114579.1%2C37354.113955.1&slots=HSR_D&position=89&beaconIssued=2020-12-14T21%3A02%3A09&sort=RECOMMENDED&top_dp=103&top_cur=USD&semdtl=&selectedRoomType=200234607&selectedRatePlan=224245885
Super 8 by Wyndham High Point/Greensboro,High Point,$71,4.2/5,(100 reviews),https://www.expedia.com/Greensboro-Hotels-Super-8-By-Wyndham-High-PointGreensboro.h61522.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730262&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=71&top_cur=USD&semdtl=&selectedRoomType=210602842&selectedRatePlan=224085123
Bright Luxurious Home Large Fenced-in Back Yard,Kernersville,$199,4.8/5,(26 reviews),https://www.expedia.com/Winston-Salem-Hotels-Bright-Luxurious-Home-Large-Fenced-In-Back-Yard.h36939031.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730264&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=199&top_cur=USD&semdtl=&selectedRoomType=36939031&selectedRatePlan=0004d6e8d6a22206437fa0a12af5c85241ef
Super 8 by Wyndham Greensboro,Greensboro,$55,3.2/5,(272 reviews),https://www.expedia.com/Greensboro-Hotels-Super-8-By-Wyndham-Greensboro.h124223.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730267&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=55&top_cur=USD&semdtl=&selectedRoomType=67491&selectedRatePlan=2054086
"Motel 6 Greensboro, NC - Airport",Greensboro,$54,3.3/5,(152 reviews),https://www.expedia.com/Greensboro-Hotels-Motel-6-Greensboro-Airport.h41988.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730268&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=54&top_cur=USD&semdtl=&selectedRoomType=219001271&selectedRatePlan=280006795
Homewood Suites by Hilton Greensboro Airport,Greensboro,$127,4.1/5,(156 reviews),https://www.expedia.com/Greensboro-Hotels-Homewood-Suites-By-Hilton-Greensboro-Airport.h41096.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730269&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=127&top_cur=USD&semdtl=&selectedRoomType=201131867&selectedRatePlan=256255775
Hampton Inn Greensboro-Airport,Greensboro,$119,4.2/5,(440 reviews),https://www.expedia.com/Greensboro-Hotels-Hampton-Inn-Greensboro-Airport.h40375.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730271&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=119&top_cur=USD&semdtl=&selectedRoomType=344603&selectedRatePlan=230092740
American Inn & Suites-High Point NC,High Point,$65,3.0/5,(129 reviews),https://www.expedia.com/Greensboro-Hotels-American-Inn-Suites-High-Point-NC.h8036324.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730272&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=65&top_cur=USD&semdtl=&selectedRoomType=200660161&selectedRatePlan=203241360
Hampton Inn High Point,Archdale,$114,4.4/5,(263 reviews),https://www.expedia.com/Greensboro-Hotels-Hampton-Inn-High-Point.h84568.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730274&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=114&top_cur=USD&semdtl=&selectedRoomType=429260&selectedRatePlan=230092542
Hampton Inn Kernersville,Kernersville,$84,4.5/5,(218 reviews),https://www.expedia.com/Winston-Salem-Hotels-Hampton-Inn-Kernersville.h19420391.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730276&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=84&top_cur=USD&semdtl=&selectedRoomType=202123839&selectedRatePlan=286375875
Extended Stay America - Greensboro-Wendover Ave-Big Tree Way,Greensboro,$63,2.8/5,(663 reviews),https://www.expedia.com/Greensboro-Hotels-Extended-Stay-America-Greensboro-Wendover-Ave-Big-Tree-Way.h40955.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730278&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=63&top_cur=USD&semdtl=&selectedRoomType=214311&selectedRatePlan=202465812
Courtyard by Marriott Burlington,Burlington,$93,4.1/5,(310 reviews),https://www.expedia.com/Greensboro-Hotels-Courtyard-By-Marriott-Burlington.h84572.Hotel-Information?chkin=2021-02-17&chkout=2021-02-18&x_pwa=1&rfrr=HSR&pwa_ts=1607979730279&referrerUrl=aHR0cHM6Ly93d3cuZXhwZWRpYS5jb20vSG90ZWwtU2VhcmNo&useRewards=false&rm1=a2&regionId=602968&destination=Greensboro+%28and+vicinity%29%2C+North+Carolina%2C+United+States+of+America&destType=MARKET&sort=RECOMMENDED&top_dp=93&top_cur=USD&semdtl=&selectedRoomType=141871&selectedRatePlan=220279576
